,System,SpT,Pday,Vmag,BmV,logM,logMe,logR,logRe,logg,logge,logT,logTe,logL,logLe,Mass[solMass],log.Teff [K],B-V,Absolute Mag,SpType,Temp(log),T(K)
384,AY_Cam-1,none,2.735,9.9,0.36,0.279,0.0091,0.4426,0.0031,3.832,0.015,3.86,0.015,1.28,0.006,1.9010782799233,3.86,0.36,1.5999999999999996,n,0.5865873046717549,7244.359600749898
385,AY_Cam-2,none,2.735,9.9,0.36,0.2317,0.0092,0.3064,0.0032,4.057,0.016,3.869,0.02,1.042,0.006,1.704904275992887,3.869,0.36,2.195,n,0.5875987297212449,7396.052750582382
386,AI_Hya-1,F2_m,8.29,9.36,0.36,0.29,0.0074,0.44,0.0024,3.848,0.003,3.886,0.006,1.381,0.034,1.9498445997580447,3.886,0.36,1.3474999999999997,F,0.5895027962637638,7691.304402866098
387,AI_Hya-2,F0_V,8.29,9.36,0.36,0.3214,0.0073,0.5869,0.0024,3.586,0.003,3.856,0.014,1.554,0.035,2.0960420931948778,3.856,0.36,0.9149999999999996,F,0.5861370252307931,7177.942912713615
388,EI_Cep-1,F3_IV,8.439,7.61,0.33,0.2485,0.0017,0.4618,0.0072,3.763,0.014,3.829,0.007,1.193,0.03,1.7721480451351173,3.829,0.33,1.8175,F,0.5830853663476876,6745.280276979222
389,EI_Cep-2,F1_V,8.439,7.61,0.33,0.2253,0.0016,0.3672,0.0082,3.929,0.016,3.842,0.006,1.055,0.03,1.6799640954848132,3.842,0.33,2.1625,F,0.5845573605256749,6950.243175887969
390,V442_Cyg-1,F1_V,2.386,9.72,0.32,0.1942,0.0067,0.3164,0.0071,3.999,0.016,3.839,0.006,0.94,0.03,1.5638676645114105,3.839,0.32,2.45,F,0.5842181121174049,6902.398038402419
391,V442_Cyg-2,F2_V,2.386,9.72,0.32,0.1492,0.0071,0.2206,0.0086,4.146,0.019,3.833,0.006,0.72,0.03,1.4099379493587232,3.833,0.32,3.0,F,0.5835388192543521,6807.693586937417
392,PV_Pup-1,A8_V,1.661,6.89,0.32,0.1945,0.0031,0.1881,0.0051,4.257,0.01,3.84,0.019,0.69,0.08,1.56494831922487,3.84,0.32,3.075,A,0.5843312243675308,6918.309709189362
393,PV_Pup-2,A8_V,1.661,6.89,0.32,0.1915,0.0036,0.1758,0.0052,4.278,0.011,3.841,0.019,0.67,0.08,1.554175290771585,3.841,0.32,3.125,A,0.5844443071651761,6934.258060165695
