,System,SpT,Pday,Vmag,BmV,logM,logMe,logR,logRe,logg,logge,logT,logTe,logL,logLe,Mass[solMass],log.Teff [K],B-V,Absolute Mag,SpType,Temp(log),T(K)
114,OGLE-LMC-ECL-13529-1,G4_III,49.467,17.36,1.01,0.4559,0.0024,1.2312,0.0054,2.432,0.011,3.724,0.006,2.312,0.028,2.856932634583697,3.724,1.01,-0.9799999999999996,G,0.571009672309305,5296.634438916581
115,OGLE-LMC-ECL-13529-2,G4_III,49.467,17.36,1.01,0.4487,0.0025,1.2036,0.006,2.48,0.012,3.721,0.007,2.246,0.032,2.8099591088425018,3.721,1.01,-0.8150000000000004,G,0.5706596700215341,5260.172663907063
116,OGLE-SMC-ECL-0019-1,G4_III,143.393,17.92,0.99,0.238,0.0075,1.2253,0.0103,2.23,0.02,3.716,0.008,2.27,0.04,1.7298163592151017,3.716,0.99,-0.875,G,0.5700757053216042,5199.959965335162
117,OGLE-SMC-ECL-0019-2,G5_III,143.393,17.92,0.99,0.2279,0.0077,1.2742,0.0139,2.12,0.03,3.708,0.009,2.334,0.044,1.6900517380435738,3.708,0.99,-1.035,G,0.5691397254724595,5105.049999754065
118,OGLE-BLG-ECL-123903-1,K2_III,118.531,16.9,0.99,0.3107,0.0057,0.9795,0.0022,2.79,0.011,3.679,0.012,1.633,0.071,2.045031490989864,3.679,0.99,0.7175000000000002,K,0.5657297878311269,4775.2927365769065
119,OGLE-BLG-ECL-123903-2,K2_III,118.531,16.9,0.99,0.3168,0.0048,0.9567,0.0029,2.841,0.012,3.68,0.016,1.591,0.067,2.0739582044538323,3.68,0.99,0.8224999999999998,K,0.5658478186735176,4786.300923226385
120,TZ_For-1,G8_III,75.666,6.88,0.97,0.3132,0.0002,0.9212,0.0057,2.915,0.023,3.693,0.003,1.57,0.02,2.0568375866278874,3.693,0.97,0.8749999999999996,G,0.5673793076509788,4931.738039549359
121,TZ_For-2,F7_III,75.666,6.88,0.97,0.2918,0.0002,0.5988,0.0088,3.539,0.037,3.803,0.005,1.36,0.03,1.9579427998770649,3.803,0.97,1.3999999999999997,F,0.5801263254115825,6353.309318517436
122,CF_Tau-1,K0,2.756,10.25,0.95,0.1079,0.003,0.4467,0.0017,3.653,0.005,3.716,0.013,0.71,0.05,1.2820353491189516,3.716,0.95,3.025,K,0.5700757053216042,5199.959965335162
123,CF_Tau-2,G0,2.756,10.25,0.95,0.0973,0.0038,0.3113,0.0034,3.913,0.008,3.778,0.011,0.69,0.05,1.2511229769215944,3.778,0.95,3.075,G,0.5772619535858148,5997.910762555094
124,EPIC_219511354-1,K2_V,1.622,13.16,0.94,-0.04,0.0062,-0.0362,0.0076,4.47,0.016,3.702,0.013,-0.31,0.053,0.9120108393559098,3.702,0.94,5.575,K,0.5684364144168853,5035.006087879047
125,EPIC_219511354-2,K4_V,1.622,13.16,0.94,-0.0851,0.0085,-0.0701,0.0082,4.494,0.017,3.671,0.012,-0.5,0.052,0.8220533433757728,3.671,0.94,6.05,K,0.5647843845039867,4688.13382145265
126,V501_Her-1,G3_IV,8.598,10.93,0.93,0.1035,0.0012,0.3014,0.0007,3.9384,0.0014,3.755,0.008,0.576,0.03,1.2691121444451907,3.755,0.93,3.36,G,0.5746099413401872,5688.529308438413
127,V501_Her-2,G3_V,8.598,10.93,0.93,0.0833,0.0011,0.1793,0.0008,4.1623,0.0016,3.757,0.008,0.344,0.029,1.2114346740128337,3.757,0.93,3.94,G,0.5748411950633846,5714.786366718672
128,OGLE-SMC-ECL-1859-1,G0_III,75.544,17.69,0.92,0.4116,0.0051,1.2095,0.008,2.43,0.02,3.744,0.008,2.35,0.035,2.5798829360403723,3.744,0.92,-1.0750000000000002,G,0.5733358400660676,5546.25712957911
129,OGLE-SMC-ECL-1859-2,G7_III,75.544,17.69,0.92,0.3945,0.0035,1.2718,0.007,2.29,0.01,3.695,0.009,2.276,0.037,2.480275937692958,3.695,0.92,-0.8899999999999997,G,0.5676144427308445,4954.5019080479005
130,M4_V69-1,none,48.188,17.01,0.9,-0.1155,0.003,-0.0627,0.0049,4.444,0.132,3.784,0.009,-0.036,0.036,0.7664785401625911,3.784,0.9,4.89,n,0.5779511277297551,6081.350012787177
131,M4_V69-2,none,48.188,17.01,0.9,-0.138,0.0029,-0.0929,0.0043,4.483,0.119,3.772,0.01,-0.146,0.041,0.727779804536824,3.772,0.9,5.165,n,0.5765716840652907,5915.616341754737
132,M4_V65-1,none,2.293,17.03,0.9,-0.095,0.0046,0.0596,0.0039,4.221,0.014,3.785,0.008,0.21,0.032,0.8035261221856173,3.785,0.9,4.275,n,0.5780658838360916,6095.368972401694
133,M4_V65-2,none,2.293,17.03,0.9,-0.2182,0.0032,-0.214,0.0065,4.645,0.017,3.682,0.011,-0.747,0.046,0.6050621691582965,3.682,0.9,6.6675,n,0.5660837841679959,4808.393484497285
134,ASAS_J052821+0338.5-1,K1_PMS,3.873,11.7,0.9,0.1383,0.0035,0.2625,0.0024,4.05,0.01,3.708,0.009,0.314,0.034,1.3749914574850317,3.708,0.9,4.015,K,0.5691397254724595,5105.049999754065
135,ASAS_J052821+0338.5-2,K3_PMS,3.873,11.7,0.9,0.1235,0.0026,0.238,0.0025,4.08,0.01,3.673,0.009,0.14,0.035,1.328923557126656,3.673,0.9,4.45,K,0.5650209283452937,4709.77326396953
136,FS_Mon-1,F2_V,1.906,9.6,0.9,0.2127,0.0032,0.312,0.0025,4.026,0.005,3.827,0.006,0.888,0.026,1.6319242651056207,3.827,0.9,2.58,F,0.5828584622244993,6714.288529259523
137,FS_Mon-2,F4_V,1.906,9.6,0.9,0.1649,0.003,0.2119,0.0032,4.179,0.006,3.816,0.007,0.644,0.026,1.4618405344787933,3.816,0.9,3.1899999999999995,F,0.5816083660320575,6546.361740672747
138,OGLE-SMC-ECL-0439-1,G2_III,279.266,18.06,0.9,0.356,0.0057,1.1614,0.015,2.47,0.03,3.72,0.008,2.158,0.042,2.269864851883822,3.72,0.9,-0.5949999999999998,G,0.5705429398818975,5248.074602497728
139,OGLE-SMC-ECL-0439-2,G2_III,279.266,18.06,0.9,0.3598,0.0057,1.1875,0.0141,2.42,0.03,3.721,0.008,2.215,0.043,2.2898129121079687,3.721,0.9,-0.7374999999999998,G,0.5706596700215341,5260.172663907063
140,1SWASP_J093010.78+533859.5-1,K1_V,1.306,9.84,0.88,-0.1158,0.0079,-0.1209,0.0046,4.564,0.012,3.699,0.017,-0.49,0.07,0.765949258372888,3.699,0.88,6.025,K,0.568084331315394,5000.345349769783
141,1SWASP_J093010.78+533859.5-2,K5_V,1.306,9.84,0.88,-0.1911,0.0081,-0.129,0.0058,4.505,0.014,3.627,0.021,-0.8,0.08,0.6440209571356517,3.627,0.88,6.8,K,0.5595475555804343,4236.429660495409
142,M4_V66-1,none,8.111,16.84,0.88,-0.1056,0.0025,-0.0293,0.0022,4.388,0.077,3.79,0.007,0.053,0.028,0.7841515405281217,3.79,0.88,4.6675,n,0.5786392099680724,6165.9500186148225
143,M4_V66-2,none,8.111,16.84,0.88,-0.1283,0.0025,-0.081,0.0028,4.469,0.085,3.774,0.008,-0.115,0.031,0.7442177089248527,3.774,0.88,5.0875,n,0.5768018958289126,5942.921586155727
144,OGLE_SMC113.3_4007-1,G8_III,371.768,15.81,0.88,0.5446,0.0035,1.6609,0.0066,1.66,0.017,3.681,0.009,3.0,0.033,3.504289682644385,3.681,0.88,-2.7,G,0.5659658174466666,4797.334486366892
145,OGLE_SMC113.3_4007-2,G8_III,371.768,15.81,0.88,0.5516,0.003,1.6848,0.0063,1.62,0.016,3.682,0.009,3.053,0.03,3.5612298094276205,3.682,0.88,-2.8325000000000005,G,0.5660837841679959,4808.393484497285
146,CG_Cyg-1,G9_V,0.631,10.08,0.86,-0.0269,0.0055,-0.0506,0.0063,4.512,0.014,3.721,0.015,-0.26,0.06,0.9399397147667808,3.721,0.86,5.45,G,0.5706596700215341,5260.172663907063
147,CG_Cyg-2,K3_V,0.631,10.08,0.86,-0.0915,0.007,-0.0757,0.0072,4.505,0.016,3.674,0.006,-0.51,0.03,0.8100279416803505,3.674,0.86,6.074999999999999,K,0.5651391519697895,4720.630412635905
148,OGLE_SMC108.1_14904-1,F9_II,185.218,15.21,0.86,0.645,0.004,1.6716,0.0049,1.74,0.014,3.754,0.008,3.313,0.042,4.4157044735331255,3.754,0.86,-3.482500000000001,F,0.5744942682853275,5675.446054085472
149,OGLE_SMC108.1_14904-2,G7_II,185.218,15.21,0.86,0.6463,0.0036,1.8065,0.0034,1.472,0.01,3.695,0.008,3.346,0.038,4.428942071986358,3.695,0.86,-3.5650000000000004,G,0.5676144427308445,4954.5019080479005
150,Kepler-47-1,none,7.448,15.38,0.85,-0.0191,0.0064,-0.0287,0.0023,4.476,0.005,3.751,0.008,-0.076,0.035,0.9569736945876576,3.751,0.85,4.99,n,0.5741470641507227,5636.376558259543
151,Kepler-47-2,none,7.448,15.38,0.85,-0.466,0.0038,-0.4711,0.0026,4.914,0.005,3.526,0.013,-1.854,0.062,0.3419794425137088,3.526,0.85,9.435,n,0.5472823079633032,3357.3761424295453
152,KIC_8410637-1,G_III,408.324,11.33,0.85,0.1679,0.005,1.0251,0.002,2.556,0.003,3.663,0.008,1.656,0.03,1.4719735289779448,3.663,0.85,0.6600000000000001,G,0.5638369186645449,4602.565735813559
153,KIC_8410637-2,none,408.324,11.33,0.85,0.1169,0.0046,0.192,0.0028,4.171,0.005,3.783,0.014,0.468,0.058,1.3088805074244976,3.783,0.85,3.63,n,0.5778363412927441,6067.363295885053
154,ASAS_J065134-2211.5-1,G,8.22,9.83,0.83,-0.0195,0.0055,-0.0013,0.0017,4.421,0.003,3.74,0.008,-0.09,0.03,0.9560926950198136,3.74,0.83,5.025,G,0.5728716022004802,5495.408738576249
155,ASAS_J065134-2211.5-2,none,8.22,9.83,0.83,-0.1713,0.0032,-0.1612,0.0044,4.589,0.009,3.599,0.012,-0.96,0.05,0.6740622411390065,3.599,0.83,7.199999999999999,n,0.5561818466529113,3971.915494694405
156,AI_Phe-1,K0_IV,24.592,8.61,0.83,0.0769,0.0003,0.2565,0.0005,4.002,0.0011,3.792,0.002,0.654,0.007,1.1937132101928052,3.792,0.83,3.165,K,0.5788683286660287,6194.410750767812
157,AI_Phe-2,F7_V,24.592,8.61,0.83,0.0948,0.0003,0.4673,0.0003,3.5981,0.0009,3.707,0.002,0.736,0.006,1.2439416235583076,3.707,0.83,2.96,F,0.5690225860295637,5093.308710571952
158,OGLE-SMC-ECL-2761-1,F9_III,150.364,17.3,0.82,0.3874,0.0071,1.238,0.0075,2.35,0.01,3.751,0.009,2.431,0.04,2.440057159428208,3.751,0.82,-1.2775000000000007,F,0.5741470641507227,5636.376558259543
159,OGLE-SMC-ECL-2761-2,G0_III,150.364,17.3,0.82,0.3766,0.0055,1.243,0.0099,2.33,0.02,3.747,0.009,2.428,0.042,2.3801262821949867,3.747,0.82,-1.2700000000000005,G,0.573683693093798,5584.701947368307
160,OGLE-SMC-ECL-3529-1,F8_III,234.326,17.12,0.8,0.3729,0.0055,1.1004,0.0138,2.61,0.03,3.766,0.007,2.22,0.042,2.359934775551644,3.766,0.8,-0.7500000000000009,F,0.575880315680646,5834.451042737448
161,OGLE-SMC-ECL-3529-2,G3_III,234.326,17.12,0.8,0.3945,0.0088,1.3243,0.0062,2.18,0.01,3.723,0.015,2.498,0.061,2.480275937692958,3.723,0.8,-1.4450000000000012,G,0.5708930362183923,5284.452517751803
162,NGC_3201_V142-1,none,27.693,17.25,0.78,-0.0947,0.0027,0.3448,0.0045,3.654,0.005,3.772,0.012,0.731,0.049,0.8040813701206138,3.772,0.78,2.9725,n,0.5765716840652907,5915.616341754737
163,NGC_3201_V142-2,none,27.693,17.25,0.78,-0.1778,0.0013,-0.1593,0.0025,4.588,0.003,3.744,0.012,-0.24,0.11,0.6640488057745738,3.744,0.78,5.4,n,0.5733358400660676,5546.25712957911
164,LV_Her-1,F9_V,18.436,11.06,0.78,0.0766,0.0036,0.1329,0.0038,4.2493,0.0082,3.793,0.011,0.349,0.044,1.1928889070568698,3.793,0.78,3.9275,F,0.5789828427027905,6208.690342300638
165,LV_Her-2,F9_V,18.436,11.06,0.78,0.0681,0.003,0.1183,0.0036,4.2695,0.0081,3.78,0.011,0.311,0.044,1.1697687092114866,3.78,0.78,4.0225,F,0.5774917998372253,6025.595860743575
166,HS_Aur-1,G8_V,9.815,10.16,0.77,-0.0458,0.0092,0.0017,0.0104,4.389,0.023,3.728,0.006,-0.13,0.03,0.899911910870052,3.728,0.77,5.125,G,0.5714759036819438,5345.643593969719
167,HS_Aur-2,K0_V,9.815,10.16,0.77,-0.056,0.0084,-0.059,0.0119,4.5,0.025,3.716,0.006,-0.3,0.03,0.8790225168308843,3.716,0.77,5.55,K,0.5700757053216042,5199.959965335162
168,OGLE-SMC-ECL-1421-1,G2_III,102.834,17.18,0.77,0.4346,0.0032,1.248,0.0074,2.37,0.01,3.732,0.008,2.38,0.034,2.7201947619843767,3.732,0.77,-1.1499999999999997,G,0.5719416350744624,5395.1062251512785
169,OGLE-SMC-ECL-1421-2,G6_III,102.834,17.18,0.77,0.4548,0.003,1.3766,0.0036,2.14,0.01,3.701,0.008,2.512,0.033,2.849705627341153,3.701,0.77,-1.4800000000000004,G,0.5683190850951118,5023.4258952238715
170,NGC_3201_V139-1,none,8.789,18.08,0.74,-0.0937,0.0038,0.0846,0.0043,4.175,0.006,3.793,0.005,0.294,0.022,0.8059349691127455,3.793,0.74,4.065,n,0.5789828427027905,6208.690342300638
171,NGC_3201_V139-2,none,8.789,18.08,0.74,-0.1649,0.0019,-0.163,0.0025,4.599,0.003,3.745,0.006,-0.387,0.021,0.6840691418893659,3.745,0.74,5.7675,n,0.5734518220354853,5559.042572704037
172,KIC_2306740-1,none,10.307,13.7,0.74,0.077,0.0029,0.2258,0.001,4.063,0.002,3.764,0.018,0.449,0.075,1.1939881044642733,3.764,0.74,3.6775,n,0.5756496147552193,5807.644175213118
173,KIC_2306740-2,none,10.307,13.7,0.74,0.0326,0.0028,0.0885,0.0018,4.294,0.004,3.782,0.017,0.26,0.072,1.0779534330711118,3.782,0.74,4.15,n,0.5777215245090209,6053.408747539136
174,RT_CrB-1,G5_IV,5.117,10.21,0.73,0.1281,0.0032,0.4175,0.0073,3.731,0.014,3.762,0.008,0.838,0.032,1.3430741797949022,3.762,0.73,2.705,G,0.5754187912143601,5780.960474057181
175,RT_CrB-2,K0_IV,5.117,10.21,0.73,0.1332,0.0029,0.4692,0.0075,3.632,0.015,3.71,0.009,0.736,0.036,1.3589391171008014,3.71,0.73,2.96,K,0.5693739096150459,5128.613839913648
176,EF_Aqr-1,G0_V,2.854,9.89,0.72,0.0948,0.0028,0.1265,0.0039,4.28,0.007,3.789,0.006,0.36,0.011,1.2439416235583076,3.789,0.72,3.9,G,0.5785246052749932,6151.7687270986835
177,EF_Aqr-2,none,2.854,9.89,0.72,-0.0241,0.0028,-0.0195,0.0055,4.453,0.011,3.715,0.009,-0.227,0.02,0.9460193072899132,3.715,0.72,5.3675,n,0.5699588180965941,5188.000389289609
178,V1094_Tau-1,G0_V,8.989,8.97,0.7,0.04,0.0016,0.1495,0.0018,4.179,0.004,3.767,0.007,0.32,0.03,1.096478196143185,3.767,0.7,4.0,G,0.5759956202032677,5847.900841444806
179,V1094_Tau-2,G3_V,8.989,8.97,0.7,0.0052,0.0012,0.0439,0.0026,4.355,0.005,3.756,0.008,0.05,0.03,1.0120454110965418,3.756,0.7,4.675,G,0.5747255835940733,5701.642722807472
180,EPIC_219568666-1,F8_V,11.991,11.86,0.7,0.0496,0.005,0.0711,0.0026,4.346,0.005,3.788,0.007,0.248,0.028,1.1209855128753143,3.788,0.7,4.18,F,0.5784099703312358,6137.620051647939
181,EPIC_219568666-2,none,11.991,11.86,0.7,-0.1349,0.003,-0.1938,0.0115,4.69,0.022,3.653,0.01,-0.818,0.046,0.7329932916517788,3.653,0.7,6.845,n,0.5626496722119166,4497.798548932879
182,KIC_5359678-1,F5,6.231,14.21,0.7,0.0976,0.0062,0.1611,0.0036,4.214,0.007,3.813,0.003,0.555,0.014,1.2519875206248816,3.813,0.7,3.4125,F,0.5812668052736706,6501.296903430909
183,KIC_5359678-2,none,6.231,14.21,0.7,0.0273,0.0053,0.0204,0.007,4.424,0.013,3.777,0.005,0.103,0.025,1.064878356126963,3.777,0.7,4.5425,n,0.577146984827525,5984.115950603199
184,NP_Per-1,F5_V,2.229,11.24,0.7,0.1208,0.0029,0.1374,0.0041,4.284,0.008,3.808,0.006,0.46,0.025,1.3206872951464237,3.808,0.7,3.65,F,0.5806969397124367,6426.877173170194
185,NP_Per-2,K5_e,2.229,11.24,0.7,0.0194,0.0019,0.0896,0.0046,4.2779,0.0089,3.657,0.015,-0.237,0.058,1.0456828853581377,3.657,0.7,5.3925,K,0.5631249603380444,4539.416166502032
186,IM_Per-1,A8_V,2.254,11.28,0.7,0.2512,0.0023,0.3818,0.0032,3.9258,0.0067,3.88,0.009,1.235,0.035,1.7831997722329167,3.88,0.7,1.7124999999999997,A,0.5888317255942073,7585.775750291836
187,IM_Per-2,A8_V,2.254,11.28,0.7,0.249,0.0024,0.374,0.0031,3.9394,0.0068,3.879,0.009,1.217,0.036,1.7741894808901657,3.879,0.7,1.7574999999999994,A,0.5887197796000565,7568.328950209744
188,CoRoT_105906206-1,none,3.695,11.78,0.7,0.3522,0.0077,0.6274,0.002,3.53,0.01,3.829,0.01,1.53,0.04,2.2500905722793068,3.829,0.7,0.9749999999999996,n,0.5830853663476876,6745.280276979222
189,CoRoT_105906206-2,none,3.695,11.78,0.7,0.1106,0.0101,0.1271,0.0032,4.3,0.02,3.789,0.011,0.36,0.05,1.2900305642179897,3.789,0.7,3.9,n,0.5785246052749932,6151.7687270986835
190,HP_Aur-1,G2_V,1.423,11.17,0.68,-0.0203,0.0019,0.0119,0.0018,4.3942,0.004,3.764,0.009,0.036,0.035,0.9543331283085358,3.764,0.68,4.71,G,0.5756496147552193,5807.644175213118
191,HP_Aur-2,K1_V,1.423,11.17,0.68,-0.0918,0.0019,-0.1103,0.0019,4.5669,0.0043,3.713,0.01,-0.414,0.039,0.8094685874176843,3.713,0.68,5.835,K,0.5697249492261589,5164.163692720711
192,TIC_193993801-1,F8_V,1.431,11.27,0.67,0.1159,0.005,0.2284,0.0036,4.098,0.006,3.801,0.003,0.614,0.013,1.3058701657935172,3.801,0.67,3.265,F,0.5798978696031037,6324.118513762197
193,TIC_193993801-2,none,1.431,11.27,0.67,0.0752,0.0066,0.1153,0.0057,4.245,0.011,3.785,0.003,0.323,0.018,1.189049678985098,3.785,0.67,3.9925,n,0.5780658838360916,6095.368972401694
194,OGLE-SMC-ECL-3678-1,F2_II,187.843,15.56,0.67,0.5832,0.0023,1.4942,0.007,2.03,0.01,3.823,0.008,3.234,0.037,3.830010812264486,3.823,0.67,-3.285000000000001,F,0.5824042980190282,6652.731562017413
195,OGLE-SMC-ECL-3678-2,G6_II,187.843,15.56,0.67,0.5717,0.0012,1.6294,0.0041,1.75,0.01,3.697,0.006,3.003,0.026,3.729924147524735,3.697,0.67,-2.7075000000000005,G,0.5678494505731068,4977.37084978936
196,Kepler-35-1,none,20.734,15.96,0.66,-0.0517,0.0025,0.0122,0.0008,4.3623,0.002,3.749,0.011,-0.027,0.043,0.8877690494117353,3.749,0.66,4.8675,n,0.5739154404215507,5610.479760324706
197,Kepler-35-2,none,20.734,15.96,0.66,-0.0918,0.0024,-0.1045,0.0012,4.5556,0.0016,3.716,0.008,-0.387,0.02,0.8094685874176843,3.716,0.66,5.7675,n,0.5700757053216042,5199.959965335162
198,IM_Vir-1,G7_V,1.309,9.57,0.66,-0.0083,0.0053,0.0257,0.0065,4.379,0.014,3.754,0.008,-0.012,0.034,0.981070009743198,3.754,0.66,4.83,G,0.5744942682853275,5675.446054085472
199,IM_Vir-2,K7_V,1.309,9.57,0.66,-0.1776,0.0031,-0.1669,0.0083,4.594,0.017,3.628,0.013,-0.867,0.056,0.6643546819760057,3.628,0.66,6.967499999999999,K,0.5596672783880576,4246.19563946313
200,EPIC_219394517-1,G,6.527,11.34,0.64,0.0327,0.0008,0.0233,0.0045,4.4247,0.0094,3.773,0.007,0.091,0.031,1.0782016695998948,3.773,0.64,4.5725,G,0.5766868052009956,5929.2532458
201,EPIC_219394517-2,G,6.527,11.34,0.64,0.0278,0.001,0.0179,0.005,4.4303,0.0097,3.769,0.007,0.066,0.031,1.0661050486467796,3.769,0.64,4.635,G,0.5762261374496049,5874.893525297769
202,V963_Cen-1,G1_IV-V,15.269,8.6,0.64,0.0339,0.0012,0.16,0.0016,4.152,0.003,3.764,0.004,0.332,0.018,1.0811849705944692,3.764,0.64,3.97,G,0.5756496147552193,5807.644175213118
203,V963_Cen-2,G1_IV-V,15.269,8.6,0.64,0.0315,0.0012,0.1527,0.0021,4.164,0.004,3.765,0.005,0.32,0.021,1.075226600392726,3.765,0.64,4.0,G,0.5757649805367194,5821.032177708716
204,OGLE-LMC-CEP-01812-1,F7_II,551.776,16.69,0.64,0.5752,0.0035,1.2516,0.0032,2.509,0.007,3.787,0.011,2.61,0.04,3.760105236684959,3.787,0.64,-1.7249999999999996,F,0.5782953051208263,6123.503917247734
205,OGLE-LMC-CEP-01812-2,G4_III,551.776,16.69,0.64,0.4183,0.0033,1.073,0.0029,2.709,0.007,3.713,0.01,1.95,0.04,2.6199922097727595,3.713,0.64,-0.0750000000000001,G,0.5697249492261589,5164.163692720711
206,ASAS_J045304-0700.4-1,K2_V,1.622,11.24,0.63,-0.0789,0.0019,-0.0716,0.0026,4.503,0.005,3.726,0.016,-0.278,0.065,0.8338731689085956,3.726,0.63,5.495,K,0.5712428505602238,5321.082592667942
207,ASAS_J045304-0700.4-2,K4_V,1.622,11.24,0.63,-0.082,0.0021,-0.0794,0.0026,4.515,0.005,3.708,0.017,-0.365,0.068,0.8279421637123342,3.708,0.63,5.7125,K,0.5691397254724595,5105.049999754065
208,Kepler-34-1,none,27.796,15.04,0.63,0.0203,0.0013,0.0651,0.0011,4.3284,0.0021,3.772,0.009,0.173,0.033,1.0478521287135911,3.772,0.63,4.3675,n,0.5765716840652907,5915.616341754737
209,Kepler-34-2,none,27.796,15.04,0.63,0.0089,0.0009,0.0385,0.0012,4.3703,0.0022,3.768,0.01,0.107,0.036,1.020704430766585,3.768,0.63,4.5325,n,0.5761108941208397,5861.3816451402845
210,QR_Hya-1,G1_V,5.006,8.4,0.63,0.0415,0.0007,0.1087,0.0014,4.262,0.003,3.773,0.005,0.262,0.021,1.1002718452957352,3.773,0.63,4.145,G,0.5766868052009956,5929.2532458
211,QR_Hya-2,G2_V,5.006,8.4,0.63,0.0283,0.0008,0.0802,0.002,4.306,0.004,3.767,0.005,0.182,0.023,1.067333154261838,3.767,0.63,4.345,G,0.5759956202032677,5847.900841444806
212,V636_Cen-1,G0_V,4.284,8.7,0.62,0.022,0.0021,0.0077,0.0017,4.444,0.004,3.771,0.006,0.05,0.03,1.0519618738232228,3.771,0.62,4.675,G,0.5764565324056202,5902.010801718442
213,V636_Cen-2,none,4.284,8.7,0.62,-0.0685,0.0015,-0.0809,0.0021,4.532,0.005,3.699,0.009,-0.41,0.04,0.8540828474185445,3.699,0.62,5.824999999999999,n,0.568084331315394,5000.345349769783
214,AN_Cam-1,F9_V,20.998,9.69,0.61,0.1399,0.0066,0.3343,0.0024,3.9095,0.003,3.782,0.011,0.75,0.043,1.3800664559703322,3.782,0.61,2.925,F,0.5777215245090209,6053.408747539136
215,AN_Cam-2,G2_IV,20.998,9.69,0.61,0.1467,0.0077,0.4226,0.0023,3.74,0.0037,3.76,0.011,0.839,0.046,1.4018450097984845,3.76,0.61,2.7025,G,0.5751878449276611,5754.399373371566
216,GX_Gem-1,F7_V,4.038,11.33,0.61,0.1726,0.0032,0.3668,0.0022,3.877,0.004,3.792,0.007,0.86,0.03,1.4879899569860218,3.792,0.61,2.65,F,0.5788683286660287,6194.410750767812
217,GX_Gem-2,F7_V,4.038,11.33,0.61,0.1664,0.003,0.3499,0.0023,3.904,0.005,3.79,0.007,0.82,0.03,1.4668982822062864,3.79,0.61,2.75,F,0.5786392099680724,6165.9500186148225
218,V785_Cep-1,none,6.504,14.74,0.6,0.0426,0.0028,0.1535,0.0058,4.174,0.012,3.771,0.007,0.34,0.03,1.1030621940666496,3.771,0.6,3.95,n,0.5764565324056202,5902.010801718442
219,V785_Cep-2,none,6.504,14.74,0.6,0.0338,0.0028,0.1377,0.006,4.196,0.013,3.769,0.007,0.3,0.03,1.0809360472143263,3.769,0.6,4.05,n,0.5762261374496049,5874.893525297769
220,OGLE-LMC-CEP-00227-1,F7_Ib-II,309.669,15.2,0.6,0.618,0.0031,1.5425,0.0015,1.97,0.004,3.778,0.012,3.15,0.05,4.14954042634363,3.778,0.6,-3.075,F,0.5772619535858148,5997.910762555094
221,OGLE-LMC-CEP-00227-2,G4_II,309.669,15.2,0.6,0.6085,0.0032,1.6512,0.0014,1.743,0.003,3.708,0.01,3.09,0.04,4.059756632515684,3.708,0.6,-2.925,G,0.5691397254724595,5105.049999754065
222,EPIC_210822691-1,none,8.074,11.37,0.59,0.0374,0.004,0.0969,0.0035,4.286,0.021,3.775,0.009,0.245,0.028,1.089933497027067,3.775,0.59,4.1875,n,0.5769169559652071,5956.621435290103
223,EPIC_210822691-2,none,8.074,11.37,0.59,-0.0177,0.009,-0.0269,0.0046,4.473,0.033,3.745,0.012,-0.118,0.038,0.9600635909453472,3.745,0.59,5.095,n,0.5734518220354853,5559.042572704037
224,UW_LMi-1,G0_V,3.874,8.32,0.59,0.0655,0.0007,0.1271,0.0045,4.249,0.009,3.781,0.005,0.332,0.022,1.1627865510033546,3.781,0.59,3.97,G,0.5776066773625357,6039.4862937638
225,UW_LMi-2,G0_V,3.874,8.32,0.59,0.057,0.0006,0.1055,0.0055,4.284,0.011,3.778,0.005,0.279,0.023,1.1402497875611688,3.778,0.59,4.1025,G,0.5772619535858148,5997.910762555094
226,BF_Dra-1,F6_V,11.211,9.76,0.59,0.1504,0.0009,0.3193,0.0025,3.95,0.005,3.803,0.011,0.81,0.04,1.4138391390945648,3.803,0.59,2.7749999999999995,F,0.5801263254115825,6353.309318517436
227,BF_Dra-2,F6_V,11.211,9.76,0.59,0.1383,0.0009,0.2838,0.0027,4.008,0.005,3.806,0.01,0.75,0.04,1.3749914574850317,3.806,0.59,2.925,F,0.5804687839510017,6397.348354826482
228,BK_Peg-1,F8_V,5.49,9.98,0.59,0.1504,0.0021,0.2984,0.0017,3.992,0.004,3.797,0.006,0.74,0.02,1.4138391390945648,3.797,0.59,2.95,F,0.5794405971397972,6266.138646723356
229,BK_Peg-2,F7_V,5.49,9.98,0.59,0.0993,0.0017,0.1685,0.005,4.201,0.01,3.801,0.006,0.49,0.03,1.256897898195546,3.801,0.59,3.575,F,0.5798978696031037,6324.118513762197
230,KIC_2557430-1,F2_V,1.298,11.63,0.58,0.2279,0.0077,0.2742,0.0046,4.116,0.009,3.848,0.011,0.899,0.038,1.6900517380435738,3.848,0.58,2.5525,F,0.5852350633657754,7046.930689671467
231,KIC_2557430-2,F9_V,1.298,11.63,0.58,0.1303,0.0064,0.0899,0.0106,4.386,0.019,3.782,0.05,0.249,0.075,1.34989503505598,3.782,0.58,4.1775,F,0.5777215245090209,6053.408747539136
232,V413_Ser-1,B8_V,2.26,8.0,0.58,0.5658,0.0059,0.5065,0.0068,3.9914,0.0028,4.045,0.012,2.149,0.022,3.679594830147844,4.045,0.58,-0.5725000000000007,B,0.6069185259482911,11091.748152624008
