System,SpT,Pday,Vmag,BmV,logM,logMe,logR,logRe,logg,logge,logT,logTe,logL,logLe,Mass[solMass],log.Teff [K],B-V,Absolute Mag
OGLE-LMC-CEP-01812-2,G,551.776,16.69,0.64,0.4183,0.0033,1.073,0.0029,2.709,0.007,3.713,0.01,1.95,0.04,2.61999221,3.713,0.64,-0.075
OGLE-SMC-ECL-3678-1,F,187.843,15.56,0.67,0.5832,0.0023,1.4942,0.007,2.03,0.01,3.823,0.008,3.234,0.037,3.830010812,3.823,0.67,-3.285
OGLE-SMC-ECL-3678-2,G,187.843,15.56,0.67,0.5717,0.0012,1.6294,0.0041,1.75,0.01,3.697,0.006,3.003,0.026,3.729924148,3.697,0.67,-2.7075
zeta_Phe-1,B,1.67,3.95,-0.15,0.592,0.0063,0.4526,0.0029,4.125,0.005,4.158,0.024,2.49,0.1,3.908408958,4.158,-0.15,-1.425
zeta_Phe-2,B,1.67,3.95,-0.15,0.4041,0.0053,0.2753,0.0025,4.292,0.004,4.079,0.022,1.82,0.09,2.535712433,4.079,-0.15,0.25
OGLE-LMC-ECL-13360-1,G,262.439,15.82,1.07,0.5966,0.0026,1.4837,0.0054,2.067,0.011,3.74,0.007,2.882,0.031,3.950026416,3.74,1.07,-2.405
OGLE-LMC-ECL-13360-2,G,262.439,15.82,1.07,0.6085,0.0026,1.5962,0.0039,1.854,0.008,3.706,0.007,2.972,0.028,4.059756633,3.706,1.07,-2.63
GG_Lup-1,B,1.85,5.59,-0.16,0.6145,0.0042,0.3764,0.0046,4.301,0.011,4.169,0.013,2.38,0.05,4.116233473,4.169,-0.16,-1.15
GG_Lup-2,B,1.85,5.59,-0.16,0.3995,0.0042,0.2368,0.0048,4.364,0.01,4.041,0.024,1.59,0.1,2.508996179,4.041,-0.16,0.825
OGLE-LMC-CEP-00227-1,F,309.669,15.2,0.6,0.618,0.0031,1.5425,0.0015,1.97,0.004,3.778,0.012,3.15,0.05,4.149540426,3.778,0.6,-3.075
OGLE-LMC-CEP-00227-2,G,309.669,15.2,0.6,0.6085,0.0032,1.6512,0.0014,1.743,0.003,3.708,0.01,3.09,0.04,4.059756633,3.708,0.6,-2.925
OGLE-LMC-ECL-06575-1,G,189.994,15.81,1.2,0.6198,0.0023,1.6428,0.0043,1.773,0.008,3.692,0.007,3.009,0.029,4.166774522,3.692,1.2,-2.7225
OGLE-LMC-ECL-06575-2,K,189.994,15.81,1.2,0.6009,0.0028,1.6698,0.004,1.699,0.008,3.667,0.006,2.963,0.024,3.989330341,3.667,1.2,-2.6075
OGLE_SMC108.1_14904-1,F,185.218,15.21,0.86,0.645,0.004,1.6716,0.0049,1.74,0.014,3.754,0.008,3.313,0.042,4.415704474,3.754,0.86,-3.4825
