logL,Mass[solMass],Vmag,logT,Absolute Mag,B-V,Predicted_SpT
1.12,1.69,6.42,3.863,1.92,0.266,A
1.1,1.82,6.48,3.896,1.98,0.181,A
1.08,1.8,6.54,3.897,2.04,0.179,A
1.03,1.75,6.65,3.886,2.15,0.207,A
1.02,1.76,6.67,3.897,2.17,0.177,A
1.0,1.72,6.73,3.874,2.23,0.237,A
0.99,1.74,6.76,3.903,2.26,0.163,A
0.72,1.49,7.42,3.86,2.92,0.275,F
0.53,1.34,7.89,3.833,3.39,0.353,F
0.45,1.27,8.12,3.82,3.62,0.397,F
0.44,1.26,8.13,3.817,3.63,0.407,F
0.44,1.2,8.17,3.787,3.67,0.518,F
0.44,1.14,8.17,3.787,3.67,0.518,F
0.44,1.14,8.17,3.787,3.67,0.518,F
0.35,1.19,8.37,3.803,3.87,0.449,F
0.33,1.19,8.42,3.805,3.92,0.443,F
0.28,1.15,8.55,3.799,4.05,0.463,F
0.28,1.15,8.56,3.8,4.06,0.461,F
0.26,1.15,8.6,3.802,4.1,0.453,F
0.26,1.14,8.61,3.797,4.11,0.475,F
0.27,1.11,8.61,3.783,4.11,0.535,F
0.22,1.1,8.73,3.785,4.23,0.525,F
0.17,1.09,8.83,3.789,4.33,0.51,F
0.11,1.04,9.02,3.776,4.52,0.566,G
0.07,1.05,9.1,3.78,4.6,0.547,F
0.06,1.05,9.12,3.782,4.62,0.54,F
-0.02,1.0,9.34,3.771,4.84,0.589,G
-0.03,1.0,9.36,3.77,4.86,0.594,G
-0.16,0.86,9.78,3.728,5.28,0.776,G
-0.24,0.91,9.91,3.75,5.41,0.679,G
-0.24,0.84,10.0,3.724,5.5,0.793,K
-0.38,0.8,10.38,3.715,5.88,0.834,K
-0.45,0.83,10.51,3.728,6.01,0.776,K
-0.53,0.75,10.81,3.701,6.31,0.895,K
1.82,2.56,3.41,3.896,0.18,0.18,A
1.84,3.33,3.66,3.692,0.43,0.99,G
1.79,3.23,3.77,3.694,0.54,0.98,G
1.75,3.13,3.85,3.698,0.62,0.96,G
1.51,2.3,4.3,3.956,1.07,0.05,A
1.39,1.96,4.48,3.869,1.25,0.25,A
1.32,1.88,4.66,3.873,1.43,0.24,A
1.27,2.0,4.78,3.9,1.55,0.17,A
1.27,1.96,4.78,3.9,1.55,0.17,A
1.27,1.87,4.78,3.9,1.55,0.17,A
1.27,2.0,4.8,3.905,1.57,0.16,A
1.27,1.91,4.8,3.905,1.57,0.16,A
1.27,1.88,4.8,3.905,1.57,0.16,A
