System,SpT,Pday,Vmag,BmV,logM,logMe,logR,logRe,logg,logge,logT,logTe,logL,logLe,Mass[solMass],log.Teff [K],B-V,Absolute Mag,SpType
OGLE_SMC113.3_4007-1,G8_III,371.768,15.81,0.88,0.5446,0.0035,1.6609,0.0066,1.66,0.017,3.681,0.009,3,0.033,3.504289683,3.681,0.88,-2.7,G
OGLE_SMC113.3_4007-2,G8_III,371.768,15.81,0.88,0.5516,0.003,1.6848,0.0063,1.62,0.016,3.682,0.009,3.053,0.03,3.561229809,3.682,0.88,-2.8325,G
M4_V69-1,none,48.188,17.01,0.9,-0.1155,0.003,-0.0627,0.0049,4.444,0.132,3.784,0.009,-0.036,0.036,0.76647854,3.784,0.9,4.89,n
M4_V69-2,none,48.188,17.01,0.9,-0.138,0.0029,-0.0929,0.0043,4.483,0.119,3.772,0.01,-0.146,0.041,0.727779805,3.772,0.9,5.165,n
M4_V65-1,none,2.293,17.03,0.9,-0.095,0.0046,0.0596,0.0039,4.221,0.014,3.785,0.008,0.21,0.032,0.803526122,3.785,0.9,4.275,n
M4_V65-2,none,2.293,17.03,0.9,-0.2182,0.0032,-0.214,0.0065,4.645,0.017,3.682,0.011,-0.747,0.046,0.605062169,3.682,0.9,6.6675,n
ASAS_J052821+0338.5-1,K1_PMS,3.873,11.7,0.9,0.1383,0.0035,0.2625,0.0024,4.05,0.01,3.708,0.009,0.314,0.034,1.374991457,3.708,0.9,4.015,K
ASAS_J052821+0338.5-2,K3_PMS,3.873,11.7,0.9,0.1235,0.0026,0.238,0.0025,4.08,0.01,3.673,0.009,0.14,0.035,1.328923557,3.673,0.9,4.45,K
FS_Mon-1,F2_V,1.906,9.6,0.9,0.2127,0.0032,0.312,0.0025,4.026,0.005,3.827,0.006,0.888,0.026,1.631924265,3.827,0.9,2.58,F
FS_Mon-2,F4_V,1.906,9.6,0.9,0.1649,0.003,0.2119,0.0032,4.179,0.006,3.816,0.007,0.644,0.026,1.461840534,3.816,0.9,3.19,F
OGLE-SMC-ECL-0439-1,G2_III,279.266,18.06,0.9,0.356,0.0057,1.1614,0.015,2.47,0.03,3.72,0.008,2.158,0.042,2.269864852,3.72,0.9,-0.595,G
OGLE-SMC-ECL-0439-2,G2_III,279.266,18.06,0.9,0.3598,0.0057,1.1875,0.0141,2.42,0.03,3.721,0.008,2.215,0.043,2.289812912,3.721,0.9,-0.7375,G
OGLE-SMC-ECL-1859-1,G0_III,75.544,17.69,0.92,0.4116,0.0051,1.2095,0.008,2.43,0.02,3.744,0.008,2.35,0.035,2.579882936,3.744,0.92,-1.075,G
OGLE-SMC-ECL-1859-2,G7_III,75.544,17.69,0.92,0.3945,0.0035,1.2718,0.007,2.29,0.01,3.695,0.009,2.276,0.037,2.480275938,3.695,0.92,-0.89,G
V501_Her-1,G3_IV,8.598,10.93,0.93,0.1035,0.0012,0.3014,0.0007,3.9384,0.0014,3.755,0.008,0.576,0.03,1.269112144,3.755,0.93,3.36,G
V501_Her-2,G3_V,8.598,10.93,0.93,0.0833,0.0011,0.1793,0.0008,4.1623,0.0016,3.757,0.008,0.344,0.029,1.211434674,3.757,0.93,3.94,G
