,M,logT,type,rho,logg,logL,logR,SNtype
786,1.447,3.767823498007517,G,0.08596,3.78,0.9524049395770244,0.408748606184244,4.0
787,1.447,3.754654069255432,G,0.04987,3.622,1.0718820073061255,0.4860051863622422,4.0
788,1.444,3.7866804531966487,F,0.1842,3.999,0.7481104674949838,0.2968844755385471,3.0
789,1.444,3.8067902715840667,F,0.1802,3.994,0.7690078709437739,0.3010299956639812,3.0
792,1.441,3.826787238816292,F,0.4983,4.287,0.5600262489128923,0.153814864344529,3.0
793,1.44,3.8344842853348053,F,0.3254,4.165,0.6748611407378116,0.21484384804769785,3.0
794,1.44,3.7845459740545224,F,0.1095,3.851,0.907034952483417,0.37272794088559547,3.0
795,1.44,3.794139355767774,F,0.097294226,3.817,0.8269813369119937,0.3891660843645325,3.0
797,1.44,3.765072201102792,G,0.066756622,3.706,1.1095785469043866,0.4440447959180762,4.0
798,1.437,3.808346035740395,F,0.08646,3.782,1.021189299069938,0.4065401804339551,3.0
799,1.436,3.812311609131124,F,0.2019,4.027,0.7405995128111565,0.28375338333252653,3.0
800,1.436,3.797198269838959,F,0.1618,3.96,0.824060717418653,0.31260043926125936,3.0
801,1.436,3.7184186418296554,G,0.04858,3.614,0.8484354553314708,0.49009900506330495,4.0
803,1.43,3.836070808915142,F,0.2029,4.029,0.815378484965918,0.28330122870354957,3.0
804,1.43,3.816241299991783,F,0.1732,3.982,0.8353734524700088,0.3053513694466238,3.0
805,1.43,3.834802054048699,F,0.1224,3.885,1.0542299098633972,0.35602585719312274,3.0
807,1.43,3.710625015060797,K,0.0187,3.342,1.0111473607757975,0.6283889300503115,5.0
808,1.4291,3.820464190577684,F,0.325029472,4.1635,0.678245151927042,0.21444644571839463,3.0
809,1.429,3.800510876894368,F,0.2091,4.036,0.7379079233746387,0.2778383330020474,3.0
810,1.429,3.7697464671794534,G,0.09392,3.805,0.9527440240148983,0.39339969529310187,4.0
812,1.427,3.7507397512353506,G,0.06535,3.701,0.9856060830524365,0.4460709357010051,4.0
813,1.426,3.760648619581356,G,0.07462,3.737,0.8605775512444155,0.4266738880213728,4.0
814,1.426,3.715334683792313,K,0.06662,3.704,0.7182525000977505,0.44341946178281727,5.0
815,1.426,3.714497408649806,K,0.04704,3.603,0.8920946026904804,0.49373680227683986,5.0
816,1.425,3.7967130632808965,F,0.2278,4.061,0.6774244377012474,0.2648178230095365,3.0
817,1.42,3.8295610562993927,F,0.2351,4.07,0.8470170979353542,0.2600713879850748,3.0
818,1.42,3.8145139523682383,F,0.215893758,4.044,0.781970673912552,0.27184160653649897,3.0
820,1.418,3.7884512070234555,F,0.211632697,4.038,0.6828667956623246,0.27577190016493136,3.0
821,1.418,3.806179973983887,F,0.1949,4.015,0.8188195075475364,0.28600712207947454,3.0
822,1.418,3.7063763558396903,K,0.03888,3.548,0.8877860348383715,0.520483532740792,5.0
823,1.416,3.8191489428071344,F,0.1086,3.848,0.9933039379194745,0.373279893277496,3.0
824,1.416,3.7774268223893115,G,0.09307,3.8,0.8896378004066677,0.393926006585837,4.0
826,1.413,3.8025000677643934,F,0.1731,3.979,0.7208205817703439,0.30341207059674197,3.0
827,1.413,3.785543369956593,F,0.09654,3.81,0.9244343635432307,0.388278863459639,3.0
828,1.412,3.7866804531966487,F,0.1228,3.882,0.8443528963108934,0.35525990552737846,3.0
829,1.41,3.8188195075475364,F,0.1839358,3.997,0.7773543130842088,0.2944662261615929,3.0
831,1.4082,3.8222988712623662,F,0.337700447,4.1734,0.6843066460716315,0.20803804935318046,3.0
832,1.4082,3.791901080009571,F,0.202028265,4.0238,0.7109631189952758,0.28135158167273755,3.0
834,1.408,3.7100326990657537,K,0.05599,3.652,1.0433622780211296,0.46671937168159866,5.0
836,1.406,3.763877031495655,G,0.1142,3.859,0.8298181874388775,0.3630475945210935,4.0
837,1.404,3.79309160017658,F,0.0673,3.706,0.92957217907655,0.43980621139333026,3.0
