Mass[solMass],logT,Absolute Mag,B-V
0.46,3.538,11.61,1.56
0.45,3.532,11.7,1.58
0.46,3.535,11.71,1.57
0.51,3.547,11.74,1.53
0.65,3.62,11.9,1.25
3.58,3.62,11.9,1.25
9.55,3.62,11.9,1.25
0.68,3.641,11.9,1.16
0.72,3.67,11.92,1.03
0.45,3.526,12.01,1.6
0.61,3.592,12.03,1.37
0.75,3.7,12.04,0.9
0.77,3.723,12.07,0.8
0.61,3.589,12.09,1.38
0.64,3.607,12.1,1.31
3.54,3.607,12.1,1.31
9.04,3.607,12.1,1.31
-1.0,3.435,12.11,1.88
0.66,3.625,12.15,1.23
0.44,3.521,12.19,1.62
0.74,3.695,12.24,0.92
0.41,3.512,12.32,1.65
0.5,3.535,12.35,1.57
0.73,3.686,12.41,0.96
0.71,3.666,12.42,1.05
0.61,3.586,12.43,1.39
0.54,3.547,12.46,1.53
-1.0,2.815,12.54,2.2
0.66,3.618,12.58,1.26
3.59,3.618,12.58,1.26
9.65,3.618,12.58,1.26
-1.0,3.064,12.63,2.11
0.44,3.509,12.7,1.66
0.56,3.55,12.73,1.52
-1.0,2.976,12.75,2.15
-1.0,3.465,12.76,1.81
0.82,3.782,12.83,0.54
0.8,3.768,12.88,0.6
0.42,3.5,12.9,1.69
0.22,3.476,12.9,1.77
-1.0,3.436,12.93,1.91
0.48,3.518,12.94,1.63
0.81,3.782,12.99,0.54
0.61,3.575,13.02,1.43
0.51,3.521,13.21,1.62
-1.0,2.948,13.24,2.2
0.52,3.521,13.47,1.62
0.67,3.618,13.78,1.26
-1.0,3.387,13.9,2.09
-1.0,3.387,13.9,2.09
-1.0,3.411,13.93,2.0
-1.0,3.425,13.94,1.95
0.65,3.594,14.35,1.36
3.56,3.594,14.35,1.36
9.2,3.594,14.35,1.36
0.65,3.586,14.89,1.39
3.54,3.586,14.89,1.39
9.04,3.586,14.89,1.39
0.55,3.509,15.14,1.66
0.5,3.479,15.34,1.76
0.7,3.641,15.53,1.16
0.87,3.9,15.88,0.17
5.37,4.167,-1.79,-0.11
4.32,4.087,-1.32,-0.06
4.98,4.167,-1.19,-0.11
3.34,4.062,-0.04,-0.04
2.69,3.988,0.26,0.04
2.61,4.0,0.79,0.02
2.69,4.04,0.93,-0.02
2.67,4.05,1.1,-0.03
2.29,3.975,1.31,0.06
2.37,4.0,1.32,0.02
2.15,3.941,1.45,0.12
2.03,3.923,1.68,0.16
2.15,3.981,1.76,0.05
2.01,3.95,1.85,0.1
1.96,3.95,2.02,0.1
2.0,3.963,2.04,0.08
1.83,3.927,2.27,0.15
1.75,3.905,2.35,0.2
1.67,3.858,2.46,0.32
1.58,3.858,2.46,0.32
1.57,3.858,2.46,0.32
1.69,3.9,2.54,0.21
1.61,3.844,2.61,0.36
1.55,3.844,2.61,0.36
1.51,3.844,2.61,0.36
1.61,3.877,2.67,0.27
1.6,3.881,2.75,0.26
1.56,3.844,2.77,0.36
1.54,3.865,2.87,0.3
1.46,3.85,3.08,0.34
1.45,3.847,3.1,0.35
1.4,3.813,3.19,0.46
1.34,3.813,3.19,0.46
1.31,3.813,3.19,0.46
1.29,3.803,3.55,0.49
1.29,3.813,3.57,0.46
1.22,3.789,3.75,0.55
1.16,3.789,3.75,0.55
1.15,3.789,3.75,0.55
1.24,3.813,3.79,0.46
1.18,3.795,3.95,0.52
1.21,3.809,3.96,0.47
1.13,3.789,4.2,0.55
1.11,3.791,4.33,0.54
1.11,3.791,4.38,0.54
1.08,3.786,4.52,0.56
1.07,3.786,4.61,0.56
1.04,3.773,4.63,0.62
0.97,3.748,4.7,0.73
1.03,3.777,4.81,0.6
1.01,3.77,4.89,0.63
1.0,3.768,4.92,0.64
0.99,3.768,4.98,0.64
0.84,3.711,4.98,0.89
0.98,3.766,5.02,0.65
0.97,3.761,5.05,0.67
0.99,3.768,5.06,0.64
0.96,3.759,5.16,0.68
0.94,3.755,5.3,0.7
0.87,3.732,5.31,0.8
0.81,3.714,5.36,0.88
0.83,3.718,5.41,0.86
0.81,3.714,5.54,0.88
0.77,3.705,5.77,0.92
0.85,3.73,5.79,0.81
0.9,3.752,5.83,0.71
0.81,3.718,5.84,0.86
0.82,3.72,5.9,0.85
0.82,3.723,5.97,0.84
0.83,3.727,6.03,0.82
0.79,3.714,6.04,0.88
0.82,3.723,6.07,0.84
0.8,3.716,6.21,0.87
0.75,3.7,6.43,0.94
0.71,3.689,6.52,0.99
0.76,3.705,6.62,0.92
0.41,3.652,6.66,1.15
0.41,3.652,6.66,1.15
0.39,3.652,6.66,1.15
0.69,3.682,6.68,1.02
0.68,3.677,6.91,1.04
0.82,3.73,7.01,0.81
0.72,3.689,7.07,0.99
0.69,3.677,7.21,1.04
0.82,3.734,7.39,0.79
-1.0,3.618,7.4,1.3
0.63,3.652,7.8,1.15
0.86,3.768,7.86,0.64
0.86,3.768,7.86,0.64
-1.0,3.607,7.89,1.35
-1.0,3.59,7.96,1.44
-1.0,3.564,8.06,1.58
0.7,3.677,8.12,1.04
0.73,3.691,8.44,0.98
0.4,3.594,8.52,1.4
0.53,3.616,8.52,1.31
0.56,3.618,8.74,1.3
0.61,3.634,8.82,1.23
3.55,3.634,8.82,1.23
0.16,3.634,8.82,1.23
0.65,3.645,9.06,1.18
0.36,3.572,9.36,1.48
