B-V,log.Teff [K],Absolute Mag,Mass[solMass],Vmag,Plx,Age [yr],Distance,logL,Predicted_SpT
0.63,3.806,3.65,1.29,13.85,0.000912011,2550000000.0,1096.478196,0.67,F
0.65,3.8,3.69,1.37,13.89,0.000912011,1750000000.0,1096.478196,0.65,F
0.65,3.8,3.69,1.37,13.89,0.000912011,1790000000.0,1096.478196,0.65,F
0.65,3.8,3.69,1.27,13.89,0.000912011,2750000000.0,1096.478196,0.65,F
0.6,3.816,3.7,1.39,13.9,0.000912011,1320000000.0,1096.478196,0.64,F
0.75,3.777,3.74,1.24,13.94,0.000912011,3270000000.0,1096.478196,0.64,G
0.67,3.795,3.85,1.32,14.05,0.000912011,1990000000.0,1096.478196,0.59,F
0.67,3.795,3.85,1.3,14.05,0.000912011,2250000000.0,1096.478196,0.59,F
0.67,3.795,3.85,1.23,14.05,0.000912011,3130000000.0,1096.478196,0.59,F
0.95,3.732,3.86,1.23,14.06,0.000912011,3620000000.0,1096.478196,0.64,K
0.83,3.759,3.97,1.18,14.17,0.000912011,4100000000.0,1096.478196,0.56,G
1.88,3.635,0.03,5.88,11.13,0.00060256,43200000.0,1659.586907,2.8,K
1.88,3.635,0.03,5.14,11.13,0.00060256,69600000.0,1659.586907,2.8,K
1.88,3.635,0.03,4.33,11.13,0.00060256,131000000.0,1659.586907,2.8,K
0.47,4.05,0.27,4.07,11.37,0.00060256,100000000.0,1659.586907,2.61,B
1.46,3.707,0.58,4.52,11.68,0.00060256,79000000.0,1659.586907,2.4,G
