# System,SpT1,SpT2,Pday,Vmag,BmV,logM1,logM1e,logM2,logM2e,logR1,logR1e,logR2,logR2e,logg1,logg1e,logg2,logg2e,logT1,logT1e,logT2,logT2e,logL1,logL1e,logL2,logL2e
V636_Cen,G0_V,none,4.284,8.7,0.62,0.022,0.0021,-0.0685,0.0015,0.0077,0.0017,-0.0809,0.0021,4.444,0.004,4.532,0.005,3.771,0.006,3.699,0.009,0.05,0.03,-0.41,0.04
WOCS_12009,none,none,69.728,13.99,0.62,0.0457,0.0059,-0.1261,0.0029,0.0298,0.0036,-0.1469,0.0195,4.424,0.002,4.607,0.038,3.785,0.007,3.673,0.01,-9.99,-9.99,-9.99,-9.99
AN_Cam,F9_V,G2_IV,20.998,9.69,0.61,0.1399,0.0066,0.1467,0.0077,0.3343,0.0024,0.4226,0.0023,3.9095,0.003,3.74,0.0037,3.782,0.011,3.76,0.011,0.75,0.043,0.839,0.046
GX_Gem,F7_V,F7_V,4.038,11.33,0.61,0.1726,0.0032,0.1664,0.003,0.3668,0.0022,0.3499,0.0023,3.877,0.004,3.904,0.005,3.792,0.007,3.79,0.007,0.86,0.03,0.82,0.03
KIC_3858884,none,none,25.952,9.45,0.61,0.2742,0.0069,0.2695,0.0093,0.5378,0.0013,0.4843,0.0014,3.63,0.01,3.74,0.01,3.833,0.004,3.82,0.005,-9.99,-9.99,-9.99,-9.99
V785_Cep,none,none,6.504,14.74,0.6,0.0426,0.0028,0.0338,0.0028,0.1535,0.0058,0.1377,0.006,4.174,0.012,4.196,0.013,3.771,0.007,3.769,0.007,0.34,0.03,0.3,0.03
RU_Cnc,none,none,10.173,10.2,0.6,0.1294,0.0035,0.1508,0.0021,0.34,0.0083,0.6936,0.0064,3.888,0.017,3.202,0.013,3.817,0.006,3.678,0.013,-9.99,-9.99,-9.99,-9.99
OGLE-LMC-CEP-00227,F7_Ib-II,G4_II,309.669,15.2,0.6,0.618,0.0031,0.6085,0.0032,1.5425,0.0015,1.6512,0.0014,1.97,0.004,1.743,0.003,3.778,0.012,3.708,0.01,3.15,0.05,3.09,0.04
EPIC_210822691,none,none,8.074,11.37,0.59,0.0374,0.004,-0.0177,0.009,0.0969,0.0035,-0.0269,0.0046,4.286,0.021,4.473,0.033,3.775,0.009,3.745,0.012,0.245,0.028,-0.118,0.038
UW_LMi,G0_V,G0_V,3.874,8.32,0.59,0.0655,0.0007,0.057,0.0006,0.1271,0.0045,0.1055,0.0055,4.249,0.009,4.284,0.011,3.781,0.005,3.778,0.005,0.332,0.022,0.279,0.023
BF_Dra,F6_V,F6_V,11.211,9.76,0.59,0.1504,0.0009,0.1383,0.0009,0.3193,0.0025,0.2838,0.0027,3.95,0.005,4.008,0.005,3.803,0.011,3.806,0.01,0.81,0.04,0.75,0.04
BK_Peg,F8_V,F7_V,5.49,9.98,0.59,0.1504,0.0021,0.0993,0.0017,0.2984,0.0017,0.1685,0.005,3.992,0.004,4.201,0.01,3.797,0.006,3.801,0.006,0.74,0.02,0.49,0.03
ASAS_J163903-2847.2,none,none,23.31,9.85,0.59,0.1526,0.0012,0.0573,0.0008,0.3339,0.0012,0.0878,0.0014,3.923,0.002,4.32,0.003,3.822,0.005,3.819,0.025,-9.99,-9.99,-9.99,-9.99
KIC_2557430,F2_V,F9_V,1.298,11.63,0.58,0.2279,0.0077,0.1303,0.0064,0.2742,0.0046,0.0899,0.0106,4.116,0.009,4.386,0.019,3.848,0.011,3.782,0.05,0.899,0.038,0.249,0.075
ASAS_J060505+2032.1,none,none,2.121,11.93,0.58,0.2345,0.0056,0.2297,0.0072,0.3113,0.0021,0.3028,0.0024,4.05,0.003,4.062,0.004,3.87,0.025,3.87,0.022,-9.99,-9.99,-9.99,-9.99
V413_Ser,B8_V,B9_V,2.26,8,0.58,0.5658,0.0059,0.5263,0.0052,0.5065,0.0068,0.4669,0.0074,3.9914,0.0028,4.031,0.0031,4.045,0.012,4.015,0.012,2.149,0.022,1.949,0.034
NGC_6362_V41,none,none,17.889,18.77,0.57,-0.0854,0.0031,-0.1379,0.0028,0.031,0.0019,-0.1363,0.0027,4.311,0.004,4.593,0.006,3.787,0.009,3.759,0.009,0.164,0.033,-0.281,0.036
