System,SpT,Pday,Vmag,BmV,logM,logMe,logR,logRe,logg,logge,logT,logTe,logL,logLe,Mass[solMass],log.Teff [K],B-V,Absolute Mag,SpType
OGLE-BLG-ECL-296596-2,K8_III,155.658,15.48,1.26,0.0512,0.0054,1.4742,0.0048,1.541,0.011,3.599,0.013,2.297,0.06,1.1251229929657667,3.599,1.26,-0.9425000000000008,K
V1174_Ori-1,K4.5_V,2.635,13.95,1.24,0.0039,0.0065,0.1268,0.0049,4.19,0.01,3.65,0.012,-0.193,0.048,1.0090205237643568,3.65,1.24,5.2825,K
V1174_Ori-2,M1.5_V,2.635,13.95,1.24,-0.1361,0.0048,0.0273,0.0045,4.25,0.01,3.558,0.012,-0.761,0.058,0.730970751868601,3.558,1.24,6.7025,M
HD_187669-1,K0_III,88.387,8.88,1.24,0.1772,0.0009,1.0542,0.0107,2.507,0.02,3.667,0.007,1.732,0.031,1.5038343479613578,3.667,1.24,0.46999999999999975,K
HD_187669-2,K2.5_III,88.387,8.88,1.24,0.1775,0.0012,1.3545,0.0096,1.907,0.019,3.636,0.007,2.207,0.035,1.5048735188025137,3.636,1.24,-0.7175000000000002,K
KIC_5640750-1,none,987.398,11.88,1.24,0.1804,0.0095,1.148,0.0037,2.323,0.007,3.656,0.007,1.871,0.029,1.5149559320403436,3.656,1.24,0.12249999999999961,n
KIC_5640750-2,none,987.398,11.88,1.24,0.1113,0.0057,0.2679,0.0054,4.014,0.01,3.767,0.015,0.555,0.06,1.2921115244259302,3.767,1.24,3.4124999999999996,n
KIC_9540226-1,none,175.443,12.08,1.21,0.143,0.0097,1.1281,0.0055,2.326,0.01,3.661,0.007,1.854,0.03,1.3899526312133532,3.661,1.21,0.16500000000000004,n
KIC_9540226-2,none,175.443,12.08,1.21,0.0065,0.0068,0.0145,0.0059,4.416,0.01,3.765,0.015,0.042,0.061,1.0150793665726912,3.765,1.21,4.694999999999999,n
OGLE_SMC126.1_210-1,K2_III,634.999,16.77,1.2,0.2238,0.0096,1.6387,0.0102,1.385,0.029,3.651,0.007,2.836,0.047,1.674171713907115,3.651,1.2,-2.29,K
OGLE_SMC126.1_210-2,K1_III,634.999,16.77,1.2,0.2225,0.0102,1.5911,0.0109,1.479,0.031,3.654,0.007,2.752,0.049,1.6691678072110576,3.654,1.2,-2.079999999999999,K
OGLE-LMC-ECL-12669-1,K0.5_III,749.632,17.21,1.2,0.2655,0.0068,1.3833,0.0061,1.937,0.012,3.666,0.008,2.384,0.034,1.8428924889705542,3.666,1.2,-1.1600000000000001,K
OGLE-LMC-ECL-12669-2,G9_III,749.632,17.21,1.2,0.2927,0.0066,1.3685,0.0056,1.994,0.011,3.673,0.009,2.386,0.038,1.9620045039256462,3.673,1.2,-1.165,G
OGLE-LMC-ECL-09678-1,G4_III,114.45,17.22,1.2,0.3802,0.0052,1.1389,0.005,2.54,0.01,3.719,0.007,2.107,0.027,2.39993787680988,3.719,1.2,-0.46750000000000025,G
OGLE-LMC-ECL-09678-2,G9_III,114.45,17.22,1.2,0.4064,0.0053,1.4857,0.004,1.873,0.008,3.673,0.008,2.616,0.035,2.54917705050912,3.673,1.2,-1.7400000000000002,G
OGLE-LMC-ECL-05430-1,G9_III,505.183,16.61,1.2,0.4341,0.0027,1.4622,0.0054,1.948,0.011,3.673,0.006,2.572,0.028,2.7170648241126765,3.673,1.2,-1.63,G
OGLE-LMC-ECL-05430-2,G9_III,505.183,16.61,1.2,0.5281,0.0023,1.5396,0.0035,1.887,0.007,3.678,0.006,2.744,0.025,3.373649808737673,3.678,1.2,-2.0600000000000005,G
OGLE-LMC-ECL-06575-1,G6_II-III,189.994,15.81,1.2,0.6198,0.0023,1.6428,0.0043,1.773,0.008,3.692,0.007,3.009,0.029,4.166774522219097,3.692,1.2,-2.7225,G
OGLE-LMC-ECL-06575-2,K0_III,189.994,15.81,1.2,0.6009,0.0028,1.6698,0.004,1.699,0.008,3.667,0.006,2.963,0.024,3.9893303406008584,3.667,1.2,-2.607500000000001,K
OGLE-LMC-ECL-09660-1,G3_III,167.796,16.27,1.19,0.4744,0.0019,1.374,0.0039,2.165,0.008,3.72,0.005,2.583,0.023,2.9812610081722464,3.72,1.19,-1.6575000000000006,G
OGLE-LMC-ECL-09660-2,K0_III,167.796,16.27,1.19,0.4767,0.0017,1.6474,0.0025,1.62,0.005,3.671,0.009,2.932,0.036,2.9970914863070446,3.671,1.19,-2.5300000000000002,K
NSVS_10653195-1,K6_V,0.561,12.5,1.17,-0.1937,0.0035,-0.163,0.0133,4.57,0.027,3.628,0.01,-0.863,0.05,0.6401769013178955,3.628,1.17,6.9575,K
NSVS_10653195-2,K7_V,0.561,12.5,1.17,-0.1864,0.0035,-0.1726,0.0129,4.597,0.027,3.613,0.012,-0.939,0.055,0.6510284984348612,3.613,1.17,7.147499999999999,K
V404_CMa-1,none,0.452,17.45,1.17,-0.1349,0.003,-0.1427,0.006,4.608,0.012,3.623,0.01,-0.867,0.044,0.7329932916517788,3.623,1.17,6.967499999999999,n
V404_CMa-2,none,0.452,17.45,1.17,-0.1791,0.0033,-0.1675,0.0128,4.614,0.025,3.596,0.012,-1.028,0.054,0.662064040270461,3.596,1.17,7.37,n
ASAS_J212954-5620.1-1,none,0.702,11.93,1.17,-0.0794,0.0089,-0.0731,0.0062,4.506,0.012,3.677,0.014,-0.482,0.057,0.8329136893713077,3.677,1.17,6.005,n
ASAS_J212954-5620.1-2,none,0.702,11.93,1.17,-0.153,0.008,-0.1439,0.0103,4.574,0.02,3.625,0.019,-0.84,0.076,0.7030723198838335,3.625,1.17,6.9,n
OGLE-LMC-ECL-25658-1,G8_III,192.789,17.0,1.17,0.3485,0.0047,1.3304,0.003,2.126,0.006,3.685,0.006,2.354,0.027,2.2310022074819558,3.685,1.17,-1.085,G
OGLE-LMC-ECL-25658-2,G9_III,192.789,17.0,1.17,0.3483,0.0045,1.4411,0.003,1.904,0.006,3.674,0.007,2.533,0.028,2.229975029531496,3.674,1.17,-1.5324999999999998,G
OGLE-LMC-ECL-01866-1,G3_III,251.247,16.13,1.17,0.5514,0.0024,1.428,0.0084,2.134,0.017,3.724,0.007,2.708,0.032,3.559590180060829,3.724,1.17,-1.9700000000000006,G
OGLE-LMC-ECL-01866-2,K1.5_III,251.247,16.13,1.17,0.5502,0.0038,1.6731,0.0046,1.642,0.009,3.653,0.006,2.912,0.025,3.5497682446720913,3.653,1.17,-2.4799999999999995,K
ASAS_J082552-1622.8-1,K7_V,1.528,11.45,1.16,-0.1531,0.0028,-0.1586,0.0056,4.6,0.016,3.624,0.021,-0.808,0.082,0.7029104501361859,3.624,1.16,6.82,K
ASAS_J082552-1622.8-2,M0_V,1.528,11.45,1.16,-0.1629,0.0031,-0.1555,0.0081,4.585,0.016,3.611,0.021,-0.909,0.087,0.6872266615842488,3.611,1.16,7.0725,M
OGLE-LMC-ECL-24887-1,G5_III,94.844,17.68,1.16,0.4389,0.0074,1.2156,0.0069,2.446,0.014,3.71,0.007,2.225,0.031,2.7472614999306746,3.71,1.16,-0.7625000000000002,G
OGLE-LMC-ECL-24887-2,G6_III,94.844,17.68,1.16,0.4736,0.0066,1.2512,0.0073,2.409,0.014,3.705,0.007,2.276,0.032,2.975774377372812,3.705,1.16,-0.8899999999999997,G
OGLE_SMC130.5_4296-1,G7_III,120.468,16.78,1.1,0.2681,0.0059,1.4055,0.0043,1.895,0.014,3.691,0.007,2.529,0.036,1.8539584639833089,3.691,1.1,-1.5225,G
OGLE_SMC130.5_4296-2,K1_III,120.468,16.78,1.1,0.2565,0.0065,1.6628,0.0033,1.369,0.013,3.655,0.007,2.898,0.036,1.8050947371315689,3.655,1.1,-2.4450000000000003,K
OGLE-LMC-ECL-10567-1,G6_III,117.975,16.43,1.09,0.5228,0.0038,1.3909,0.0051,2.179,0.01,3.705,0.009,2.555,0.036,3.332728995761378,3.705,1.09,-1.5875000000000004,G
OGLE-LMC-ECL-10567-2,G9_III,117.975,16.43,1.09,0.503,0.0035,1.564,0.003,1.813,0.006,3.673,0.007,2.777,0.028,3.1841975217261247,3.673,1.09,-2.142500000000001,G
OGLE-LMC-SC9-230659-1,G6_III,772.638,16.63,1.09,0.5561,0.0046,1.5163,0.0029,1.962,0.005,3.699,0.006,2.783,0.025,3.5983218003888036,3.699,1.09,-2.1574999999999998,G
